Month,Email Finder,Email Validation,Mobile Finder,Company Search,Linkedin Finder,Competitors Search,Personal Email Finder,Sum,Total Cost
Apr 2024,6.00,1.05,0.00,0,0,0,0,7.05,$0.06
May 2024,21946.00,346.20,39140.00,0,0,0,0,61432.20,$491.46
Jun 2024,138922.00,758.00,265535.00,624.00,0,0,0,405839.00,$3246.71
Jul 2024,535272.00,1562.05,532655.00,14963.00,0,0,0,1084452.05,$8675.62
Aug 2024,1227580.00,2031.25,553915.00,132545.00,0,0,0,1916071.25,$15328.57
Sep 2024,1645098.00,4908.25,511270.00,108844.00,0,0,0,2270120.25,$18160.96
Oct 2024,1670659.00,6077.35,545310.00,43738.00,255520.00,0,0,2521304.35,$20170.43
Nov 2024,1787718.00,9430.25,313475.00,57302.00,305090.00,0,0,2473015.25,$19784.12
Dec 2024,1583703.00,7999.75,260445.00,78096.00,206370.00,93.00,0,2136706.75,$17093.65
Jan 2025,2407018.00,14028.65,635420.00,75282.00,137590.00,3315.00,0,3272653.65,$26181.23
Feb 2025,3547721.00,15024.65,592505.00,124287.00,49120.00,18650.00,48.00,4347355.65,$34778.85
Total,14565643.00,62167.45,4249670.00,635681.00,953690.00,22058.00,48.00,20488957.45,$163911.66